 8,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  5
 4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2
 4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2
 4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 10, 11,  0,  0,  0,  2
 4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  4,  0,  0,  0,  2
 4,  0,  0,  0,  0,  0,  0,  0,  0,  0, 10,  6,  4,  0,  0,  0,  2
 4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9,  1, 12,  0,  0,  0,  2
 4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2
 7,  3,  3,  3, 11,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2
  ,   ,   ,   ,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2
  ,   ,   ,   ,  7,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  6
